timestamp,t_bmp,presion_hpa,altitud,t_dht,humedad
841523002,20.2,1008.03,43.05,20.8,70.8
841523002,20.2,1008.03,42.88,20.8,70.8
841523003,20.2,1007.98,44.05,20.8,70.8
841523003,20.2,1007.98,44.05,20.8,70.8
841523004,20.2,1008.05,43.39,20.8,70.8
841523005,20.2,1008.04,44.05,20.8,70.8
841523006,20.2,1008.02,44.05,20.8,70.8
841523007,20.2,1008.02,43.89,20.8,70.7
841523008,20.2,1008.07,42.63,20.8,70.7
841523009,20.2,1008.04,43.14,20.8,70.7
841523010,20.2,1007.97,44.05,20.8,70.7
841523011,20.2,1007.96,44.05,20.8,70.7
841523012,20.2,1008.04,43.47,20.8,70.7
841523013,20.2,1008.07,43.14,20.8,70.7
841523014,20.2,1008.08,44.05,20.8,70.6
841523015,20.2,1008.06,42.47,20.8,70.6
841523016,20.2,1007.95,43.3,20.8,70.7
841523017,20.2,1008.06,43.47,20.8,70.7
841523018,20.2,1007.97,44.14,20.8,70.7
841523019,20.2,1008.04,42.88,20.8,70.7
841523020,20.2,1007.95,43.97,20.8,70.7
841523021,20.2,1007.97,42.97,20.8,70.6
841523022,20.2,1008.09,43.47,20.8,70.6
841523023,20.2,1008.08,42.72,20.8,70.6
841523024,20.2,1008.0,43.63,20.8,70.6
841523025,20.2,1008.07,43.47,20.8,70.7
841523026,20.2,1008.01,42.72,20.8,70.7
841523027,20.2,1008.03,43.72,20.8,70.7
841523028,20.2,1008.08,43.22,20.8,70.7
841523029,20.2,1007.98,44.31,20.8,70.7
841523030,20.2,1008.04,42.8,20.7,70.7
841523031,20.2,1008.04,43.47,20.7,70.7
841523032,20.2,1008.07,43.47,20.7,70.7
841523033,20.2,1008.04,42.88,20.7,70.7
841523034,20.2,1008.04,43.3,20.8,70.8
841523035,20.3,1008.06,43.05,20.8,70.8
841523036,20.3,1007.97,43.55,20.8,70.8
841523037,20.2,1008.0,43.05,20.8,70.8
841523038,20.2,1008.05,42.63,20.8,70.8
841523039,20.3,1008.06,43.22,20.8,70.8
841523040,20.2,1008.05,43.39,20.8,70.8
841523041,20.2,1008.08,42.97,20.8,70.8
841523042,20.2,1008.08,43.39,20.8,70.8
841523043,20.2,1008.0,43.05,20.8,70.8
841523044,20.2,1008.09,42.55,20.8,70.8
841523045,20.3,1008.05,43.05,20.8,70.8
841523046,20.2,1008.01,43.05,20.8,70.8
841523047,20.2,1008.13,42.72,20.8,70.8
841523048,20.2,1008.15,42.97,20.8,70.7
841523049,20.2,1008.0,43.8,20.8,70.7
841523050,20.3,1008.07,43.14,20.8,70.8
841523051,20.3,1008.1,42.3,20.8,70.8
841523052,20.3,1008.14,42.55,20.8,70.8
841523053,20.3,1008.05,42.97,20.8,70.8
841523054,20.3,1008.09,42.8,20.8,70.8
841523055,20.3,1008.12,43.3,20.8,70.9
841523056,20.3,1008.07,42.38,20.8,70.9
841523057,20.3,1008.05,42.88,20.7,70.8
841523058,20.3,1008.06,43.14,20.7,70.8
841523059,20.3,1008.09,43.05,20.7,70.8
841523060,20.3,1008.16,42.8,20.7,70.8
841523061,20.3,1008.12,43.63,20.7,70.8
841523062,20.3,1008.12,43.05,20.8,70.8
841523063,20.3,1008.11,42.8,20.8,70.8
841523064,20.3,1008.11,43.05,20.8,70.8
841523065,20.3,1008.14,42.55,20.8,70.8
841523066,20.3,1008.11,43.05,20.7,70.8
841523067,20.3,1008.12,42.88,20.7,70.8
841523068,20.3,1008.11,42.05,20.7,70.8
841523069,20.3,1008.1,42.8,20.8,70.8
841523070,20.3,1008.1,43.05,20.8,70.8
841523071,20.3,1007.96,43.05,20.8,70.8
841523072,20.3,1008.12,43.55,20.8,70.8
841523073,20.3,1008.1,43.14,20.8,70.8
841523074,20.3,1008.1,42.8,20.8,70.8
841523075,20.3,1008.13,43.72,20.8,70.8
841523076,20.3,1008.01,42.8,20.8,70.9
841523077,20.3,1008.12,42.88,20.8,70.9
841523078,20.3,1008.15,42.63,20.8,70.9
841523079,20.3,1008.13,42.72,20.8,70.9
841523080,20.3,1008.12,42.55,20.8,70.9
841523081,20.3,1008.05,42.97,20.8,70.9
841523082,20.3,1008.13,42.97,20.8,70.9
841523083,20.3,1008.08,42.63,20.8,70.9
841523084,20.3,1008.16,43.05,20.8,70.9
841523085,20.3,1008.12,43.14,20.9,70.9
841523086,20.3,1008.14,42.38,20.9,70.9
841523087,20.3,1008.16,43.22,20.9,70.9
841523088,20.3,1008.17,42.47,20.9,70.9
841523089,20.3,1008.15,42.72,20.9,70.9
841523090,20.3,1008.13,42.63,20.9,70.9
841523091,20.3,1008.17,42.72,20.9,70.9
841523092,20.3,1008.13,42.63,20.9,70.9
841523093,20.3,1008.15,42.55,20.9,70.9
841523095,20.3,1008.14,43.39,20.9,70.9
841523095,20.3,1008.15,42.97,20.9,70.9
841523096,20.3,1008.15,42.97,20.9,70.9
841523097,20.3,1008.18,42.88,20.9,70.9
841523098,20.3,1008.13,42.55,21.0,70.8
841523099,20.3,1008.15,41.8,21.0,70.8
841523100,20.3,1008.17,42.05,21.0,70.8
841523101,20.3,1008.07,42.05,21.0,70.8
841523102,20.3,1008.13,42.22,21.0,70.8
841523103,20.3,1008.17,42.3,21.0,70.7
841523104,20.3,1008.16,42.05,21.0,70.7
841523105,20.3,1008.19,42.05,21.0,70.8
841523106,20.3,1008.12,42.05,21.0,70.8
841523107,20.3,1008.13,42.88,21.0,70.8
841523108,20.4,1008.13,42.3,21.1,70.6
841523109,20.3,1008.19,42.8,21.1,70.6
841523110,20.4,1008.22,42.38,21.1,70.5
841523111,20.3,1008.1,43.39,21.1,70.5
841523112,20.4,1008.18,42.47,21.1,70.5
841523113,20.3,1008.19,42.13,21.1,70.5
841523114,20.4,1008.14,42.8,21.2,70.4
841523115,20.4,1008.19,43.3,21.2,70.4
841523116,20.4,1008.14,42.63,21.2,70.4
841523117,20.4,1008.09,42.97,21.2,70.4
841523118,20.4,1008.15,42.72,21.2,70.4
841523119,20.4,1007.99,44.05,21.3,70.2
841523120,20.4,1008.12,42.63,21.3,70.2
841523121,20.4,1008.07,42.38,21.3,70.1
841523122,20.4,1008.09,42.47,21.3,70.1
841523123,20.4,1008.13,42.63,21.3,70.1
841523125,20.4,1008.01,43.22,21.3,70.1
841523125,20.4,1008.15,42.47,21.3,70.1
841523126,20.4,1008.17,42.88,21.3,70.0
841523127,20.4,1008.19,42.22,21.3,70.0
841523128,20.4,1008.1,42.55,21.4,69.9
841523129,20.4,1008.1,42.63,21.4,69.9
841523130,20.4,1008.18,42.8,21.4,69.8
841523131,20.4,1008.19,42.72,21.4,69.8
841523132,20.4,1008.09,42.8,21.4,69.8
841523133,20.4,1008.17,42.13,21.4,69.7
841523134,20.4,1008.19,42.55,21.4,69.7
841523135,20.4,1008.04,42.63,21.5,69.6
841523136,20.4,1008.06,42.63,21.5,69.6
841523137,20.4,1008.1,42.88,21.5,69.5
841523138,20.4,1008.17,42.38,21.5,69.5
841523139,20.4,1008.12,42.13,21.5,69.5
841523140,20.4,1008.17,42.38,21.6,69.5
841523141,20.4,1008.1,42.38,21.6,69.5
841523142,20.4,1008.15,43.14,21.6,69.3
841523143,20.4,1008.19,42.3,21.6,69.3
841523144,20.4,1008.11,42.72,21.6,69.2
841523145,20.4,1008.03,42.63,21.6,69.2
841523146,20.4,1008.09,42.47,21.7,69.1
841523147,20.4,1008.17,41.88,21.7,69.1
841523150,20.4,1008.18,41.71,21.7,69.1
841523150,20.4,1008.14,42.38,21.7,69.1
841523150,20.4,1008.21,41.88,21.7,69.1
841523151,20.4,1008.21,41.88,21.7,68.9
